cue,switch_bfstm,vita_dpk_index,orig_candidate,switch_dur,vita_dur,similarity,dur_ratio,verdict
02_01_N,02_01_N.dspadpcm.bfstm,0,1,0.569,0.576,0.958,0.988,confirmed
02_02_N,02_02_N.dspadpcm.bfstm,1,3,1.044,0.576,0.748,0.552,confirmed
02_03_E,02_03_E.dspadpcm.bfstm,4,4,22.2,22.101,0.701,0.996,confirmed
02_03_N,02_03_N.dspadpcm.bfstm,5,5,22.2,22.101,0.825,0.996,confirmed
02_04_N,02_04_N.dspadpcm.bfstm,7,7,2.026,2.048,0.678,0.989,confirmed
02_05_N,02_05_N.dspadpcm.bfstm,9,9,2.923,2.837,0.831,0.971,confirmed
02_06_E,02_06_E.dspadpcm.bfstm,10,10,1.211,1.472,0.603,0.823,confirmed
02_06_N,02_06_N.dspadpcm.bfstm,11,11,1.211,1.472,0.603,0.823,confirmed
02_07_N,02_07_N.dspadpcm.bfstm,12,13,1.76,1.856,0.612,0.948,confirmed
02_08_N,02_08_N.dspadpcm.bfstm,15,15,2.082,2.24,0.605,0.929,confirmed
03_01_E,03_01_E.dspadpcm.bfstm,16,16,3.989,3.669,0.782,0.92,confirmed
03_02_E,03_02_E.dspadpcm.bfstm,18,18,2.375,2.24,0.655,0.943,confirmed
03_03_E,03_03_E.dspadpcm.bfstm,20,20,2.074,1.963,0.783,0.946,confirmed
03_04_E,03_04_E.dspadpcm.bfstm,22,22,1.054,1.067,,0.988,no-speech-durmatch
03_05_E,03_05_E.dspadpcm.bfstm,24,24,3.75,3.477,,0.927,no-speech-durmatch
03_06_E,03_06_E.dspadpcm.bfstm,27,26,4.359,2.645,0.59,0.607,confirmed
03_07_E,03_07_E.dspadpcm.bfstm,28,28,1.422,1.707,0.561,0.833,confirmed
03_08_E,03_08_E.dspadpcm.bfstm,30,30,5.79,5.419,0.642,0.936,confirmed
03_09_E,03_09_E.dspadpcm.bfstm,32,32,2.478,3.008,0.58,0.824,confirmed
03_10_E,03_10_E.dspadpcm.bfstm,34,34,5.002,5.205,0.55,0.961,confirmed
03_11_N,03_11_N.dspadpcm.bfstm,37,37,3.118,2.923,0.705,0.937,confirmed
03_12_N,03_12_N.dspadpcm.bfstm,38,39,1.635,1.536,0.748,0.939,confirmed
03_13_N,03_13_N.dspadpcm.bfstm,41,41,1.279,1.28,0.712,0.999,confirmed
03_14_N,03_14_N.dspadpcm.bfstm,42,43,4.592,4.096,0.701,0.892,confirmed
03_15_N,03_15_N.dspadpcm.bfstm,45,45,2.133,1.579,0.845,0.74,confirmed
03_16_N,03_16_N.dspadpcm.bfstm,47,47,1.543,1.259,0.779,0.816,confirmed
04_02_E,04_02_E.dspadpcm.bfstm,53,52,5.036,5.013,0.745,0.995,confirmed
04_03_E,04_03_E.dspadpcm.bfstm,54,54,10.837,9.92,0.734,0.915,confirmed
04_04_E,04_04_E.dspadpcm.bfstm,56,56,4.246,4.267,0.675,0.995,confirmed
04_05_E,04_05_E.dspadpcm.bfstm,58,58,2.531,1.941,0.677,0.767,confirmed
04_06_E,04_06_E.dspadpcm.bfstm,59,60,2.018,1.941,,0.962,no-speech-durmatch
04_07_E,04_07_E.dspadpcm.bfstm,64,62,2.234,2.261,,0.988,no-speech-durmatch
04_08_E,04_08_E.dspadpcm.bfstm,65,64,2.291,2.261,0.446,0.987,low-confidence
04_09_E,04_09_E.dspadpcm.bfstm,66,66,3.929,3.776,,0.961,no-speech-durmatch
04_10_E,04_10_E.dspadpcm.bfstm,68,68,7.025,7.531,0.723,0.933,confirmed
04_11_E,04_11_E.dspadpcm.bfstm,70,70,3.602,3.904,,0.923,no-speech-durmatch
05_02_E,05_02_E.dspadpcm.bfstm,74,76,2.427,2.261,,0.932,no-speech-durmatch
05_02_N,05_02_N.dspadpcm.bfstm,76,77,2.427,2.005,0.403,0.826,low-confidence
05_03_E,05_03_E.dspadpcm.bfstm,78,78,4.277,3.285,0.699,0.768,confirmed
05_03_N,05_03_N.dspadpcm.bfstm,79,79,4.277,3.285,0.83,0.768,confirmed
05_04_E,05_04_E.dspadpcm.bfstm,80,80,1.968,1.387,,0.705,no-speech-nomatch
05_04_N,05_04_N.dspadpcm.bfstm,81,81,1.968,1.323,0.776,0.672,confirmed
05_08_N,05_08_N.dspadpcm.bfstm,88,89,3.8,3.499,0.866,0.921,confirmed
05_09_N,05_09_N.dspadpcm.bfstm,91,91,1.613,1.664,0.732,0.969,confirmed
05_10_N,05_10_N.dspadpcm.bfstm,98,93,2.287,3.2,0.45,0.715,confirmed
05_14_N,05_14_N.dspadpcm.bfstm,101,101,1.427,1.835,0.755,0.778,confirmed
05_15_E,05_15_E.dspadpcm.bfstm,103,102,4.066,1.771,0.496,0.436,no-match
05_16_N,05_16_N.dspadpcm.bfstm,104,105,2.538,2.581,0.641,0.983,confirmed
05_17_N,05_17_N.dspadpcm.bfstm,107,107,2.299,2.539,0.706,0.905,confirmed
05_18_N,05_18_N.dspadpcm.bfstm,110,109,1.509,2.859,0.676,0.528,confirmed
06_01_1_N,06_01_1_N.dspadpcm.bfstm,111,111,1.384,1.408,0.541,0.983,confirmed
06_01_E,06_01_E.dspadpcm.bfstm,112,114,3.88,2.475,0.493,0.638,confirmed
06_01_N,06_01_N.dspadpcm.bfstm,115,115,2.652,2.667,0.739,0.994,confirmed
06_02_E,06_02_E.dspadpcm.bfstm,116,116,5.887,6.208,0.631,0.948,confirmed
06_05_E,06_05_E.dspadpcm.bfstm,122,122,8.3,8.277,0.839,0.997,confirmed
06_06_E,06_06_E.dspadpcm.bfstm,125,124,4.393,4.544,,0.967,no-speech-durmatch
06_07_E,06_07_E.dspadpcm.bfstm,126,126,5.4,5.909,0.316,0.914,low-confidence
06_08_E,06_08_E.dspadpcm.bfstm,129,128,0.844,1.024,,0.824,no-speech-durmatch
06_09_E,06_09_E.dspadpcm.bfstm,131,130,4.914,5.419,0.85,0.907,confirmed
06_10_E,06_10_E.dspadpcm.bfstm,132,132,0.836,0.896,,0.933,no-speech-durmatch
06_10_N,06_10_N.dspadpcm.bfstm,133,133,0.836,0.896,0.784,0.933,confirmed
06_11_E,06_11_E.dspadpcm.bfstm,136,134,0.68,2.88,0.412,0.236,no-match
06_12_E,06_12_E.dspadpcm.bfstm,137,136,2.87,2.88,0.767,0.997,confirmed
07_01_N,07_01_N.dspadpcm.bfstm,139,139,19.071,19.947,0.828,0.956,confirmed
07_02_E,07_02_E.dspadpcm.bfstm,140,140,3.952,4.309,0.725,0.917,confirmed
07_03_E,07_03_E.dspadpcm.bfstm,142,142,6.436,6.379,0.831,0.991,confirmed
07_04_E,07_04_E.dspadpcm.bfstm,145,144,5.9,6.144,0.691,0.96,confirmed
07_05_E,07_05_E.dspadpcm.bfstm,146,146,3.573,4.117,0.53,0.868,confirmed
07_06_1_E,07_06_1_E.dspadpcm.bfstm,147,148,1.312,4.117,0.403,0.319,no-match
07_06_1_N,07_06_1_N.dspadpcm.bfstm,149,149,1.312,1.323,0.634,0.992,confirmed
07_06_2_E,07_06_2_E.dspadpcm.bfstm,150,150,2.179,2.197,,0.992,no-speech-durmatch
07_06_2_N,07_06_2_N.dspadpcm.bfstm,151,151,2.179,2.197,0.958,0.992,confirmed
07_06_E,07_06_E.dspadpcm.bfstm,154,152,4.09,4.203,0.34,0.973,low-confidence
08_02_E,08_02_E.dspadpcm.bfstm,163,162,2.403,2.752,0.588,0.873,confirmed
08_03_N,08_03_N.dspadpcm.bfstm,164,165,4.784,4.971,0.62,0.962,confirmed
08_04_N,08_04_N.dspadpcm.bfstm,166,167,1.132,1.152,0.841,0.983,confirmed
08_05_1_E,08_05_1_E.dspadpcm.bfstm,168,168,0.607,0.619,,0.981,no-speech-durmatch
08_05_1_N,08_05_1_N.dspadpcm.bfstm,169,169,0.607,0.619,,0.981,no-speech-durmatch
08_05_2_E,08_05_2_E.dspadpcm.bfstm,170,170,1.377,1.387,,0.993,no-speech-durmatch
08_05_2_N,08_05_2_N.dspadpcm.bfstm,171,171,1.377,1.387,,0.993,no-speech-durmatch
09_01_N,09_01_N.dspadpcm.bfstm,177,177,22.937,22.144,0.762,0.965,confirmed
09_02_N,09_02_N.dspadpcm.bfstm,178,179,30.469,26.837,0.651,0.881,confirmed
10_01_E,10_01_E.dspadpcm.bfstm,183,182,4.912,5.056,0.612,0.972,confirmed
10_02_E,10_02_E.dspadpcm.bfstm,184,184,7.224,8.064,0.69,0.896,confirmed
10_03_E,10_03_E.dspadpcm.bfstm,186,186,11.319,11.797,0.706,0.959,confirmed
10_04_E,10_04_E.dspadpcm.bfstm,188,188,12.688,12.949,0.564,0.98,confirmed
10_05_N,10_05_N.dspadpcm.bfstm,191,191,1.04,1.045,0.519,0.995,confirmed
10_06_N,10_06_N.dspadpcm.bfstm,192,193,0.899,1.152,0.632,0.78,confirmed
10_07_N,10_07_N.dspadpcm.bfstm,194,195,1.649,1.685,0.819,0.979,confirmed
11_01_E,11_01_E.dspadpcm.bfstm,196,196,6.985,8.0,0.71,0.873,confirmed
11_02_E,11_02_E.dspadpcm.bfstm,198,198,1.753,1.835,0.849,0.955,confirmed
11_03_E,11_03_E.dspadpcm.bfstm,200,200,2.816,2.709,0.717,0.962,confirmed
